Date,Country,Inflation Rate (%),GDP Growth Rate (%),Unemployment Rate (%),Interest Rate (%),Stock Index Value
2022-04-30,Australia,4.8,8.59,9.49,0.24,37095.37
2022-04-30,China,6.45,3.71,9.25,1.21,5531.45
2022-04-30,Germany,6.91,3.14,2.45,4.02,13345.44
2022-04-30,Japan,1.03,3.81,5.99,5.66,9842.37
2022-06-30,Brazil,3.34,-3.24,7.25,5.98,35075.19
2022-06-30,USA,7.71,4.25,5.88,1.4,14846.6
2022-07-31,Australia,8.95,-2.15,10.2,9.24,32916.41
2022-07-31,China,9.03,0.92,3.56,2.28,7349.79
2022-07-31,USA,9.44,1.73,5.11,-0.51,33166.73
2022-07-31,USA,2.2,4.6,4.17,0.09,17221.81
2022-08-31,China,6.33,-1.34,5.71,1.59,7201.98
2022-08-31,France,0.05,1.34,11.8,5.21,13988.36
2022-08-31,India,0.23,8.44,2.36,4.09,33346.27
2022-08-31,India,6.5,-3.66,3.91,9.94,31458.84
2022-08-31,India,1.54,0.81,6.29,6.98,34987.27
2022-08-31,UK,8.85,7.35,11.67,2.76,13684.9
2022-08-31,UK,7.76,7.38,8.04,9.94,16778.18
2022-09-30,France,4.27,1.37,6.04,3.39,8402.8
2022-09-30,India,2.53,1.14,11.97,-0.53,15515.82
2022-09-30,India,2.45,2.6,4.54,8.52,2365.31
2022-10-31,India,3.96,4.78,9.89,7.37,16916.64
2022-10-31,Japan,4.81,7.54,9.53,-0.07,29047.24
2022-10-31,Japan,1.02,0.8,8.99,7.13,18908.38
2022-11-30,France,4.57,0.68,9.99,0.43,36549.33
2022-11-30,Germany,1.4,-1.17,7.2,8.09,31448.54
2023-01-31,Germany,1.46,9.14,6.73,4.04,35092.66
2023-01-31,UK,1.03,1.08,9.28,7.89,13727.2
2023-02-28,Australia,0.18,-2.69,10.66,7.6,33233.04
2023-02-28,Canada,1.04,9.21,11.42,7.98,38715.05
2023-02-28,Japan,7.43,1.64,6.52,4.79,16038.93
2023-02-28,USA,2.97,-2.75,7.45,2.22,22982.74
2023-03-31,Australia,6.47,3.24,10.53,1.64,8289.66
2023-04-30,Australia,8.46,8.17,4.26,5.04,32104.35
2023-04-30,China,8.42,8.52,10.53,7.2,5850.93
2023-04-30,China,2.04,2.22,10.38,7.55,17174.7
2023-04-30,France,8.38,6.53,9.67,0.82,32337.21
2023-04-30,India,4.22,-2.51,10.28,8.02,3812.33
2023-04-30,Japan,9.85,3.77,2.29,2.45,10859.73
2023-04-30,UK,6.3,1.02,10.97,6.94,35712.22
2023-05-31,Australia,2.36,2.27,7.5,8.68,13090.0
2023-05-31,Brazil,4.81,9.65,11.47,-0.51,39624.11
2023-05-31,Brazil,2.94,6.86,4.52,2.04,13774.53
2023-05-31,Canada,9.33,2.73,3.41,5.35,25597.32
2023-05-31,Canada,2.16,0.5,7.2,1.99,4287.75
2023-05-31,China,0.01,-0.15,2.33,6.07,28168.46
2023-05-31,Germany,0.44,0.0,9.4,8.98,4008.66
2023-05-31,Japan,9.58,8.71,4.76,5.51,3764.77
2023-06-30,Germany,6.03,8.26,3.94,4.63,29343.22
2023-06-30,UK,3.49,0.93,4.58,0.89,39000.52
2023-06-30,UK,7.22,4.21,8.76,9.44,9654.12
2023-07-31,Australia,1.96,4.78,2.94,3.95,24158.3
2023-07-31,France,5.06,-0.32,7.77,5.37,2279.58
2023-07-31,France,3.84,4.57,6.29,5.95,29866.29
2023-07-31,Japan,5.3,-1.27,9.89,8.86,17062.72
2023-08-31,China,3.15,-2.47,11.23,9.11,35294.3
2023-08-31,Germany,5.15,-2.39,7.5,3.45,2272.1
2023-08-31,Japan,5.72,7.0,6.18,9.31,18554.54
2023-08-31,Japan,5.71,-3.85,4.69,8.5,5968.07
2023-08-31,UK,4.82,8.95,10.91,8.87,21731.52
2023-09-30,USA,7.32,0.61,9.36,4.58,38924.38
2023-10-31,Germany,8.04,-2.23,2.89,8.04,39107.07
2023-11-30,Australia,9.23,6.16,6.78,9.49,21072.66
